                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.48054,                0.53053,                 1.1147,                0.88703,                      1,                0.93281,                0.80723,                0.67937,                0.50916,                 1.5386,             0.00012495,             0.00012495,             0.00012495
                    152,                0.46758,                0.49011,                 1.1006,                0.89161,                      1,                0.93281,                 0.8182,                0.68291,                0.51585,                 1.5348,             0.00012102,             0.00012102,             0.00012102
                    153,                0.47776,                0.48464,                 1.1098,                0.89767,                      1,                0.93281,                0.79066,                0.70608,                 0.5146,                 1.5565,              0.0001171,              0.0001171,              0.0001171
                    154,                0.48352,                0.47372,                 1.1291,                0.89984,                      1,                0.93281,                0.77449,                0.72241,                0.50268,                 1.5763,             0.00011317,             0.00011317,             0.00011317
                    155,                0.53946,                0.49615,                 1.1498,                 0.9035,                      1,                0.93281,                 0.7748,                0.72947,                0.47694,                 1.5819,             0.00010924,             0.00010924,             0.00010924
                    156,                0.45255,                0.45958,                 1.0873,                0.90516,                      1,                0.93281,                0.77503,                0.72345,                0.47139,                 1.5704,             0.00010531,             0.00010531,             0.00010531
                    157,                0.46595,                0.43211,                 1.0992,                 0.9079,                      1,                0.93281,                0.79785,                0.70883,                  0.471,                 1.5509,             0.00010139,             0.00010139,             0.00010139
                    158,                0.47589,                0.47229,                 1.0765,                0.90955,                      1,                0.93281,                0.80059,                0.71484,                0.47576,                 1.5619,             9.7461e-05,             9.7461e-05,             9.7461e-05
                    159,                0.43719,                0.43032,                 1.0497,                  0.911,                      1,                0.93281,                0.78609,                0.72686,                0.48565,                 1.5863,             9.3534e-05,             9.3534e-05,             9.3534e-05
                    160,                0.46808,                0.42981,                 1.0975,                0.90916,                      1,                0.93281,                0.78598,                0.72523,                0.49074,                 1.5837,             8.9607e-05,             8.9607e-05,             8.9607e-05
                    161,                0.47379,                0.46752,                 1.1029,                0.90424,                      1,                0.93281,                0.79299,                0.69774,                0.49543,                 1.5463,              8.568e-05,              8.568e-05,              8.568e-05
                    162,                0.48311,                0.44127,                 1.0906,                0.90323,                      1,                0.93281,                 0.7929,                0.68835,                0.49224,                  1.534,             8.1753e-05,             8.1753e-05,             8.1753e-05
                    163,                0.48611,                0.48194,                 1.0803,                0.90349,                      1,                0.93281,                0.79299,                0.68557,                0.48735,                 1.5318,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    164,                0.43634,                 0.4467,                  1.077,                0.90516,                      1,                0.93281,                0.79609,                0.68685,                0.48357,                 1.5328,             7.3899e-05,             7.3899e-05,             7.3899e-05
                    165,                0.47826,                0.48425,                 1.0877,                0.90806,                      1,                0.93281,                0.80594,                0.68732,                0.48932,                 1.5298,             6.9972e-05,             6.9972e-05,             6.9972e-05
                    166,                0.44636,                0.43122,                 1.0699,                0.90847,                      1,                0.93281,                0.80223,                0.69231,                0.49196,                 1.5312,             6.6045e-05,             6.6045e-05,             6.6045e-05
                    167,                0.47341,                0.44775,                 1.0724,                0.90881,                      1,                0.93281,                0.80756,                0.69575,                0.49692,                 1.5311,             6.2118e-05,             6.2118e-05,             6.2118e-05
                    168,                0.42699,                0.43704,                 1.0368,                0.90855,                      1,                0.93281,                0.81113,                 0.6959,                0.49931,                 1.5301,             5.8191e-05,             5.8191e-05,             5.8191e-05
                    169,                 0.4284,                 0.4374,                 1.0412,                0.90695,                      1,                0.93281,                0.81947,                 0.6949,                0.49717,                 1.5281,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    170,                0.45297,                0.43734,                  1.059,                0.90647,                      1,                0.93281,                0.81947,                0.68953,                0.49118,                 1.5224,             5.0337e-05,             5.0337e-05,             5.0337e-05
                    171,                0.36148,                 0.3627,                 1.0059,                0.90513,                      1,                0.93281,                0.81993,                 0.6766,                0.47645,                  1.511,              4.641e-05,              4.641e-05,              4.641e-05
                    172,                0.36789,                0.36762,                0.94707,                0.90311,                      1,                0.93281,                0.81993,                0.67107,                0.46984,                 1.5063,             4.2483e-05,             4.2483e-05,             4.2483e-05
