                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.94503,                 1.2323,                 1.5316,                0.73102,                  0.875,                0.87062,                0.66796,                0.90338,                  1.113,                 1.7355,             0.00058441,             0.00058441,             0.00058441
                     35,                0.90874,                 1.2481,                 1.5811,                0.74561,                  0.875,                0.93281,                0.74513,                0.96412,                 1.0568,                 1.8513,             0.00058048,             0.00058048,             0.00058048
                     36,                0.96642,                 1.1075,                 1.5654,                0.62851,                      1,                0.93281,                0.74289,                0.87721,                0.99773,                 1.7691,             0.00057655,             0.00057655,             0.00057655
                     37,                0.92303,                 1.1137,                 1.5627,                0.73639,                0.82415,                0.93281,                0.74005,                0.90337,                  1.198,                 1.8413,             0.00057263,             0.00057263,             0.00057263
                     38,                0.91111,                 1.0594,                 1.5899,                0.66568,                      1,                  0.995,                0.82061,                0.88763,                 1.0144,                  1.793,              0.0005687,              0.0005687,              0.0005687
                     39,                0.89671,                0.99288,                 1.5409,                0.86876,                0.96797,                  0.995,                0.78825,                0.96121,                0.79189,                 1.9435,             0.00056477,             0.00056477,             0.00056477
                     40,                0.91044,                 1.1822,                  1.509,                 0.8555,                0.98216,                0.93281,                0.73981,                0.94179,                0.78278,                 1.9825,             0.00056085,             0.00056085,             0.00056085
                     41,                0.88709,                 1.0508,                 1.5556,                0.74252,                      1,                0.93281,                0.77188,                0.80933,                 0.7405,                 1.7467,             0.00055692,             0.00055692,             0.00055692
                     42,                0.82585,                0.95567,                 1.4084,                0.72645,                      1,                0.93281,                0.80065,                0.77309,                0.64247,                 1.7133,             0.00055299,             0.00055299,             0.00055299
                     43,                0.86156,                 0.9747,                 1.5007,                0.87109,                      1,                0.93281,                 0.8092,                0.78638,                0.67464,                 1.7197,             0.00054907,             0.00054907,             0.00054907
                     44,                0.89221,                 1.0216,                 1.4687,                0.89488,                 0.9909,                0.93281,                0.79081,                0.82798,                0.66974,                 1.7409,             0.00054514,             0.00054514,             0.00054514
